fdc_id,description,Retinol (UG),Lycopene (UG),cis_Lycopene (UG),trans_Lycopene (UG),Carotene_beta (UG),cis_beta_Carotene (UG),trans_beta_Carotene (UG),Vitamin_E_alpha_tocopherol (MG),Tocopherols_and_tocotrienols (MG),Cryptoxanthin_beta (UG),Choline_total (MG),Carotene_alpha (UG),Vitamin_K_phylloquinone (UG),Zeaxanthin (UG),Lutein (UG),Lutein_plus_zeaxanthin (UG),cis_Lutein/Zeaxanthin (UG),Vitamin_D_D2_plus_D3 (UG),Vitamin_A_RAE (UG)
2706844,"Fish, tofu, and vegetables, tempura",20.0,0.0,0.0,0.0,566.0,566.0,566.0,3.22,3.22,2.0,47.0,7.0,27.1,273.0,273.0,273.0,273.0,0.2,68.0
2706845,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",0.0,0.0,0.0,0.0,1363.0,1363.0,1363.0,0.77,0.77,2.0,35.7,2.0,61.7,936.0,936.0,936.0,936.0,0.0,114.0
2706846,"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",0.0,230.0,230.0,230.0,1801.0,1801.0,1801.0,0.79,0.79,1.0,33.5,220.0,58.6,882.0,882.0,882.0,882.0,0.0,159.0
2706847,"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",23.0,0.0,0.0,0.0,1156.0,1156.0,1156.0,0.81,0.81,3.0,75.3,2.0,52.3,847.0,847.0,847.0,847.0,0.3,119.0
2706848,"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",22.0,197.0,197.0,197.0,1542.0,1542.0,1542.0,0.82,0.82,3.0,71.1,188.0,50.2,806.0,806.0,806.0,806.0,0.3,158.0
2706849,Oysters Rockefeller,39.0,0.0,0.0,0.0,2891.0,2891.0,2891.0,1.84,1.84,0.0,48.3,0.0,216.7,6251.0,6251.0,6251.0,6251.0,0.0,280.0
2706850,Lomi salmon,6.0,1219.0,1219.0,1219.0,268.0,268.0,268.0,0.53,0.53,0.0,34.9,48.0,23.1,164.0,164.0,164.0,164.0,4.8,30.0
2706851,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",33.0,0.0,0.0,0.0,2173.0,2173.0,2173.0,2.61,2.61,0.0,56.3,923.0,31.7,438.0,438.0,438.0,438.0,0.0,255.0
2706852,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",33.0,0.0,0.0,0.0,66.0,66.0,66.0,1.97,1.97,30.0,57.8,17.0,15.5,288.0,288.0,288.0,288.0,0.0,40.0
2706853,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",31.0,0.0,0.0,0.0,1328.0,1328.0,1328.0,2.04,2.04,0.0,53.3,584.0,34.3,270.0,270.0,270.0,270.0,0.0,166.0
2706854,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",32.0,0.0,0.0,0.0,96.0,96.0,96.0,2.04,2.04,1.0,54.5,10.0,21.7,167.0,167.0,167.0,167.0,0.0,40.0
2706855,"Shrimp shish kabob with vegetables, excluding potatoes",41.0,0.0,0.0,0.0,110.0,110.0,110.0,1.25,1.25,27.0,66.1,2.0,5.0,33.0,33.0,33.0,33.0,0.0,51.0
2706856,"Shrimp creole, no rice",92.0,1023.0,1023.0,1023.0,135.0,135.0,135.0,2.03,2.03,0.0,85.1,1.0,6.2,43.0,43.0,43.0,43.0,0.2,103.0
2706857,Kung Pao shrimp,43.0,0.0,0.0,0.0,159.0,159.0,159.0,2.6,2.6,41.0,75.4,2.0,13.9,49.0,49.0,49.0,49.0,0.1,58.0
